处理步骤,处理规则,处理前记录数,处理后记录数,影响记录数
删除完全重复行,删除所有全行完全重复的记录，保留首次出现样本,5630,5630,0
中位数填充字段 Tenure,使用该字段中位数 9.00 填充缺失值,5630,5630,264
中位数填充字段 WarehouseToHome,使用该字段中位数 14.00 填充缺失值,5630,5630,251
中位数填充字段 HourSpendOnApp,使用该字段中位数 3.00 填充缺失值,5630,5630,255
中位数填充字段 OrderAmountHikeFromlastYear,使用该字段中位数 15.00 填充缺失值,5630,5630,265
中位数填充字段 CouponUsed,使用该字段中位数 1.00 填充缺失值,5630,5630,256
中位数填充字段 OrderCount,使用该字段中位数 2.00 填充缺失值,5630,5630,258
中位数填充字段 DaySinceLastOrder,使用该字段中位数 3.00 填充缺失值,5630,5630,307
类别标准化 PreferredLoginDevice: Phone→Mobile Phone,统一同义分类，将简写/别名 Phone 替换为标准名称 Mobile Phone,5630,5630,1231
类别标准化 PreferredPaymentMode: COD→Cash on Delivery,统一同义分类，将简写/别名 COD 替换为标准名称 Cash on Delivery,5630,5630,365
类别标准化 PreferredPaymentMode: CC→Credit Card,统一同义分类，将简写/别名 CC 替换为标准名称 Credit Card,5630,5630,273
类别标准化 PreferedOrderCat: Mobile→Mobile Phone,统一同义分类，将简写/别名 Mobile 替换为标准名称 Mobile Phone,5630,5630,809
类型转换 Churn 为int,将标签数值字段转为整数类型，统一数据格式,5630,5630,0
类型转换 Complain 为int,将标签数值字段转为整数类型，统一数据格式,5630,5630,0
